;image;lignes
0;Aegean_Airlines_Airbus_A319-100_plane1.svg.png;[2, 3, 4, 5, 6]
1;Aegean_Airlines_Airbus_A320-200_plane2.svg.png;[7, 8, 9, 10, 11, 12]
2;Aegean_Airlines_Airbus_A321-200_plane1.svg.png;[13, 14, 15, 16, 17, 18, 19]
3;Aegean_Airlines_Airbus_A321-200_plane3.svg.png;[13, 14, 15, 16, 17, 18, 19]
4;Aegean_Airlines_ATR_42-600_plane2.svg.png;[20, 21, 22, 23, 24]
5;Aegean_Airlines_ATR_42-600_plane4.svg.png;[20, 21, 22, 23, 24]
6;Aegean_Airlines_Bombardier_Dash_8_Q400_plane3.svg.png;[25, 26, 27]
7;Aegean_Airlines_Bombardier_Dash_8_Q400_plane5.svg.png;[25, 26, 27]
8;Aeroflot_Russian_Airlines_Airbus_330_200_plane3.jpg;[28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]
9;Aeroflot_Russian_Airlines_Airbus_A320_plane7.jpg;[39, 40, 41, 42, 43, 44, 45, 46]
10;Aeroflot_Russian_Airlines_Airbus_A320_V2_plane8.jpg;[39, 40, 41, 42, 43, 44, 45, 46]
11;Aeroflot_Russian_Airlines_Airbus_A320_V2_plane8.jpg;[47, 48, 49, 50, 51, 52, 53]
12;Aeroflot_Russian_Airlines_Airbus_A321_plane9.jpg;[54, 55, 56, 57, 58, 59, 60, 61, 62]
13;Aeroflot_Russian_Airlines_Airbus_A321_V2_plane10.jpg;[54, 55, 56, 57, 58, 59, 60, 61, 62]
14;Aeroflot_Russian_Airlines_Airbus_A321_V3_plane11.jpg;[54, 55, 56, 57, 58, 59, 60, 61, 62]
15;Aeroflot_Russian_Airlines_Airbus_A321_V2_plane10.jpg;[63, 64, 65, 66, 67, 68, 69, 70, 71, 72]
16;Aeroflot_Russian_Airlines_Airbus_A321_V3_plane11.jpg;[73, 74, 75, 76, 77, 78, 79, 80, 81, 82]
17;Aeroflot_Russian_Airlines_Airbus_A330_300_V2_plane4.jpg;[83, 84, 85, 86, 87, 88, 89, 90, 91, 92]
18;Aeroflot_Russian_Airlines_Airbus_A330_300_V3_plane5.jpg;[93, 94, 95, 96, 97, 98, 99, 100, 101, 102]
19;Aeroflot_Russian_Airlines_Boeing_737-800_plane12.svg.png;[103, 104, 105, 106, 107, 108, 109, 110]
20;Aeroflot_Russian_Airlines_Boeing_777-300ER_plane6.jpg;[111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124]
21;Aeroflot_Russian_Airlines_Sukhoi_Superjet_100-95B_plane13.jpg;[125, 126, 127, 128, 129, 130]
22;Aerolineas_Argentinas_Airbus_A330-200_plane14.jpg;[131, 132, 133, 134, 135, 136, 137]
23;Aerolineas_Argentinas_Airbus_A340-300_plane15.jpg;[138, 139, 140, 141, 142, 143, 144, 145]
24;Aerolineas_Argentinas_Boeing_737-700_plane16.jpg;[146, 147, 148, 149, 150, 151, 152]
