name;element1;element2;elment3;elment4;elment5;elment6;elment7;elment8;elment9;elment10;sum
Aegean_Airlines_Airbus_A319-100_plane1.svg;3;2;6;0;0;0;0;0;0;0;11
Aegean_Airlines_Airbus_A320-200_plane2.svg;3;2;8;0;0;0;0;0;0;0;13
Aegean_Airlines_Airbus_A321-200_plane1.svg;4;3;10;0;0;0;0;0;0;0;17
Aegean_Airlines_Airbus_A321-200_plane3.svg;4;3;10;0;0;0;0;0;0;0;17
Aegean_Airlines_ATR_42-600_plane2.svg;2;1;4;0;0;0;0;0;0;0;7
Aegean_Airlines_ATR_42-600_plane4.svg;2;1;4;0;0;0;0;0;0;0;7
Aegean_Airlines_Bombardier_Dash_8_Q400_plane3.svg;1;1;7;0;0;0;0;0;0;0;9
Aegean_Airlines_Bombardier_Dash_8_Q400_plane5.svg;1;1;7;0;0;0;0;0;0;0;9
Aeroflot_Russian_Airlines_Airbus_330_200_plane3;8;6;8;0;0;0;0;0;0;0;22
Aeroflot_Russian_Airlines_Airbus_A320_plane7;0;0;0;0;0;0;0;0;0;0;0
Aeroflot_Russian_Airlines_Airbus_A320_V2_plane8;3;2;6;0;0;0;0;0;0;0;11
Aeroflot_Russian_Airlines_Airbus_A321_plane9;4;3;8;0;0;0;0;0;0;0;15
Aeroflot_Russian_Airlines_Airbus_A321_V2_plane10;4;3;8;0;0;0;0;0;0;0;15
Aeroflot_Russian_Airlines_Airbus_A321_V3_plane11;4;2;8;0;0;0;0;0;0;0;14
Aeroflot_Russian_Airlines_Airbus_A330_300_V2_plane4;8;7;8;0;0;0;0;0;0;0;23
Aeroflot_Russian_Airlines_Airbus_A330_300_V3_plane5;8;6;8;0;0;0;0;0;0;0;22
Aeroflot_Russian_Airlines_Boeing_737-800_plane12.svg;3;2;10;0;0;0;0;0;0;0;15
Aeroflot_Russian_Airlines_Boeing_777-300ER_plane6;10;13;10;0;0;0;0;0;0;0;33
Aeroflot_Russian_Airlines_Sukhoi_Superjet_100-95B_plane13;3;1;4;0;0;0;0;0;0;0;8
Aerolineas_Argentinas_Airbus_A330-200_plane14;7;6;8;0;0;0;0;0;0;0;21
Aerolineas_Argentinas_Airbus_A340-300_plane15;8;7;8;0;0;0;0;0;0;0;23
Aerolineas_Argentinas_Boeing_737-700_plane16;3;2;6;0;0;0;0;0;0;0;11
Aerolineas_Argentinas_Boeing_737-800_plane17;3;2;8;0;0;0;0;0;0;0;13
Aeromexico_AM_Boeing_737_MAX_8_plane20.svg;3;2;8;2;0;0;0;0;0;0;15
AeroMexico_Boeing_737-700_V2_plane21;3;3;6;1;0;0;0;0;0;0;13
AeroMexico_Boeing_737-800_B_plane22.svg;3;3;8;1;0;0;0;0;0;0;15
AeroMexico_Boeing_737-800_C_plane23;4;1;8;1;0;0;0;0;0;0;14
AeroMexico_Boeing_787-9_plane19;9;7;8;3;1;0;0;0;0;0;28
AeroMexico_Embraer_ERJ-170_plane24;2;2;6;0;0;0;0;0;0;0;10
AeroMexico_Embraer_ERJ-190_plane25;0;0;0;0;0;0;0;0;0;0;0
AeroMexico_Embraer_ERJ-190_V2_plane26;2;2;6;0;0;0;0;0;0;0;10
AeroMexio_Boeing_787-8_plane18;8;8;8;3;0;0;0;0;0;0;27
Aer_Lingus_Airbus_A320_plane9;3;2;8;0;0;0;0;0;0;0;13
Aer_Lingus_Airbus_A321_plane1;4;3;8;0;0;0;0;0;0;0;15
Aer_Lingus_Airbus_A321_plane10;4;3;8;0;0;0;0;0;0;0;15
Aer_Lingus_Airbus_A330-200_plane4;7;5;8;1;0;0;0;0;0;0;21
Aer_Lingus_Airbus_A330-200_plane6;7;5;8;1;0;0;0;0;0;0;21
Aer_Lingus_Airbus_A330-200_B_plane5;6;10;8;0;0;0;0;0;0;0;24
