Data_Source;Airline_name;Aircraft_Type;Category;Flight_Type;Count;Total_seat;Seat_Class;Seat_Type;Seat_Position;Recline;Premium;Pitch_minimum;Pitch_maximum;Width;Bedlength_maximum;Bedlength_minimum;Music;VideoType;Power_available;Power_kind;Usb_available;Usb_kind;Rating
SeatGuru;aegean-airlines;Airbus A319-100;ECONOMY;short haul;138;138;Economy;STANDARD;BULKHEAD;;N;30.0;30.0;18.0;;;NONE;NONE;NONE;;NONE;;2
SeatGuru;aegean-airlines;Airbus A319-100;ECONOMY;short haul;138;138;Economy;STANDARD;NORMAL;;N;30.0;30.0;18.0;;;NONE;NONE;NONE;;NONE;;2
SeatGuru;aegean-airlines;Airbus A319-100;ECONOMY;short haul;138;138;Economy;STANDARD;EXIT_ROW;;N;30.0;30.0;18.0;;;NONE;NONE;NONE;;NONE;;5
SeatGuru;aegean-airlines;Airbus A319-100;ECONOMY;short haul;138;138;Economy;STANDARD;NORMAL;;N;30.0;30.0;18.0;;;NONE;NONE;NONE;;NONE;;3
SeatGuru;aegean-airlines;Airbus A319-100;ECONOMY;short haul;138;138;Economy;STANDARD;NORMAL;;N;30.0;30.0;18.0;;;NONE;NONE;NONE;;NONE;;1
SeatGuru;aegean-airlines;Airbus A320-200;ECONOMY;short haul;174;174;Economy;STANDARD;BULKHEAD;;N;30.0;30.0;18.0;;;YES;OVERHEAD;NONE;;NONE;;2
SeatGuru;aegean-airlines;Airbus A320-200;ECONOMY;short haul;174;174;Economy;STANDARD;NORMAL;;N;30.0;30.0;18.0;;;YES;OVERHEAD;NONE;;NONE;;2
SeatGuru;aegean-airlines;Airbus A320-200;ECONOMY;short haul;174;174;Economy;STANDARD;EXIT_ROW;;N;30.0;30.0;18.0;;;YES;OVERHEAD;NONE;;NONE;;2
SeatGuru;aegean-airlines;Airbus A320-200;ECONOMY;short haul;174;174;Economy;STANDARD;EXIT_ROW;;N;30.0;30.0;18.0;;;YES;OVERHEAD;NONE;;NONE;;5
SeatGuru;aegean-airlines;Airbus A320-200;ECONOMY;short haul;174;174;Economy;STANDARD;NORMAL;;N;30.0;30.0;18.0;;;YES;OVERHEAD;NONE;;NONE;;3
SeatGuru;aegean-airlines;Airbus A320-200;ECONOMY;short haul;174;174;Economy;STANDARD;NORMAL;;N;30.0;30.0;18.0;;;YES;OVERHEAD;NONE;;NONE;;1
SeatGuru;aegean-airlines;Airbus A321-200;ECONOMY;long haul;196;196;Economy;STANDARD;BULKHEAD;;N;30.0;30.0;18.0;;;YES;OVERHEAD;NONE;;NONE;;2
SeatGuru;aegean-airlines;Airbus A321-200;ECONOMY;long haul;196;196;Economy;STANDARD;EXIT_ROW;;N;30.0;30.0;18.0;;;YES;OVERHEAD;NONE;;NONE;;5
SeatGuru;aegean-airlines;Airbus A321-200;ECONOMY;long haul;196;196;Economy;STANDARD;NORMAL;;N;30.0;30.0;18.0;;;YES;OVERHEAD;NONE;;NONE;;3
SeatGuru;aegean-airlines;Airbus A321-200;ECONOMY;long haul;196;196;Economy;STANDARD;NORMAL;;N;30.0;30.0;18.0;;;YES;OVERHEAD;NONE;;NONE;;2
SeatGuru;aegean-airlines;Airbus A321-200;ECONOMY;long haul;196;196;Economy;STANDARD;NORMAL;;N;30.0;30.0;18.0;;;YES;OVERHEAD;NONE;;NONE;;5
SeatGuru;aegean-airlines;Airbus A321-200;ECONOMY;long haul;196;196;Economy;STANDARD;NORMAL;;N;30.0;30.0;18.0;;;YES;OVERHEAD;NONE;;NONE;;1
SeatGuru;aegean-airlines;Airbus A321-200;ECONOMY;long haul;196;196;Economy;STANDARD;EXIT_ROW;;N;30.0;30.0;18.0;;;YES;OVERHEAD;NONE;;NONE;;2
SeatGuru;aegean-airlines;ATR 42-600;ECONOMY;short haul;48;48;Economy;STANDARD;EXIT_ROW;;N;30.0;30.0;17.0;;;NONE;NONE;NONE;;NONE;;2
SeatGuru;aegean-airlines;ATR 42-600;ECONOMY;short haul;48;48;Economy;STANDARD;NORMAL;;N;30.0;30.0;17.0;;;NONE;NONE;NONE;;NONE;;3
SeatGuru;aegean-airlines;ATR 42-600;ECONOMY;short haul;48;48;Economy;STANDARD;NORMAL;;N;30.0;30.0;17.0;;;NONE;NONE;NONE;;NONE;;2
SeatGuru;aegean-airlines;ATR 42-600;ECONOMY;short haul;48;48;Economy;STANDARD;NORMAL;;N;30.0;30.0;17.0;;;NONE;NONE;NONE;;NONE;;1
SeatGuru;aegean-airlines;ATR 42-600;ECONOMY;short haul;48;48;Economy;STANDARD;EXIT_ROW;;N;30.0;30.0;17.0;;;NONE;NONE;NONE;;NONE;;5
SeatGuru;aegean-airlines;Bombardier Dash 8 Q400;ECONOMY;short haul;78;78;Economy;STANDARD;EXIT_ROW;;N;30.0;30.0;17.0;;;NONE;NONE;NONE;;NONE;;4
SeatGuru;aegean-airlines;Bombardier Dash 8 Q400;ECONOMY;short haul;78;78;Economy;STANDARD;NORMAL;;N;30.0;30.0;17.0;;;NONE;NONE;NONE;;NONE;;3
SeatGuru;aegean-airlines;Bombardier Dash 8 Q400;ECONOMY;short haul;78;78;Economy;STANDARD;NORMAL;;N;30.0;30.0;17.0;;;NONE;NONE;NONE;;NONE;;1
SeatGuru;aeroflot;Russian Airlines Airbus 330 200;BUSINESS;long haul;34;241;Business;ANGLE_FLAT;BULKHEAD;166 degrees;A;60.0;60.0;26.7;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Airbus 330 200;ECONOMY;long haul;207;241;Economy;STANDARD;BULKHEAD;;N;31.0;31.0;18.0;;;ON_DEMAND;ON_DEMAND;NONE;;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Airbus 330 200;ECONOMY;long haul;207;241;Economy;STANDARD;NORMAL;;N;31.0;31.0;18.0;;;ON_DEMAND;ON_DEMAND;NONE;;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Airbus 330 200;BUSINESS;long haul;34;241;Business;ANGLE_FLAT;NORMAL;166 degrees;A;60.0;60.0;26.7;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Airbus 330 200;ECONOMY;long haul;207;241;Economy;STANDARD;NORMAL;;N;31.0;31.0;18.0;;;ON_DEMAND;ON_DEMAND;NONE;;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Airbus 330 200;ECONOMY;long haul;207;241;Economy;STANDARD;EXIT_ROW;;N;31.0;31.0;18.0;;;ON_DEMAND;ON_DEMAND;NONE;;ALL;PORT;4
SeatGuru;aeroflot;Russian Airlines Airbus 330 200;ECONOMY;long haul;207;241;Economy;STANDARD;EXIT_ROW;;N;31.0;31.0;18.0;;;ON_DEMAND;ON_DEMAND;NONE;;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Airbus 330 200;ECONOMY;long haul;207;241;Economy;STANDARD;NORMAL;;N;31.0;31.0;18.0;;;ON_DEMAND;ON_DEMAND;NONE;;ALL;PORT;1
SeatGuru;aeroflot;Russian Airlines Airbus 330 200;BUSINESS;long haul;34;241;Business;ANGLE_FLAT;NORMAL;166 degrees;A;60.0;60.0;26.7;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Airbus 330 200;BUSINESS;long haul;34;241;Business;ANGLE_FLAT;BULKHEAD;166 degrees;A;60.0;60.0;26.7;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Airbus 330 200;BUSINESS;long haul;34;241;Business;ANGLE_FLAT;BULKHEAD;166 degrees;A;60.0;60.0;26.7;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;5
